CName,CCode,IName,ICode,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bangladesh,BGD,Trade (% of GDP),NE.TRD.GNFS.ZS,18.88985039,19.93401193,23.12157612,22.86586506,28.20949242,29.77754081,30.01163141,31.60619744,31.85240042,33.20734503,36.88216437,33.32301126,34.24910698,36.27827593,39.62709094,44.21832165,46.47911887,49.09107798,45.98002717,43.42240362,54.51129792,55.29305181
Brazil,BRA,Trade (% of GDP),NE.TRD.GNFS.ZS,16.59091683,19.25334456,19.59931632,18.67459702,16.03180654,14.93284674,15.84107706,15.86498597,20.22715514,21.71995842,25.67834696,26.67960011,27.06206307,28.97323151,26.64834858,25.83424317,25.20866345,27.13633384,22.11829707,22.77449978,24.5117143,26.543945
China,CHN,Trade (% of GDP),NE.TRD.GNFS.ZS,31.67455278,36.11310957,41.9763048,41.21724183,38.80758323,38.05756415,39.01264362,36.39325377,37.69069678,44.24362578,43.08055165,47.69533923,56.9135249,65.3520677,68.63290894,70.5670718,68.02796056,62.24377493,49.01571469,55.03272936,54.5873742,51.83965998
Ethiopia,ETH,Trade (% of GDP),NE.TRD.GNFS.ZS,13.23948014,10.83072511,20.18409924,21.22213209,25.41510765,25.54261953,29.23200073,33.37795149,35.76611581,36.34822276,36.04356745,39.61417724,41.14463066,46.90627041,51.09487501,50.98088974,45.23536175,42.99883347,39.88345667,47.5449971,49.0887575,46.16892606
France,FRA,Trade (% of GDP),NE.TRD.GNFS.ZS,44.02920499,43.02263768,40.77708215,42.6708679,44.43694743,45.1548874,48.97738313,50.4014939,50.57611726,56.63227108,55.5839122,53.48349628,50.92717903,51.88286632,53.35249229,55.09251121,55.26104392,56.00247259,48.56506358,53.33088934,56.75397897,57.08787108
Germany,DEU,Trade (% of GDP),NE.TRD.GNFS.ZS,51.7789652,48.43423926,43.81047793,45.33497924,46.88720584,48.64693333,53.50674475,55.79170281,57.92820718,66.46153846,67.59503307,66.84363568,67.52083818,72.05492554,77.42087754,85.4068888,87.33127445,90.00525507,80.00421195,89.65851703,96.06536649,97.66539154
India,IND,Trade (% of GDP),NE.TRD.GNFS.ZS,16.69494835,18.1154103,19.31285159,19.73210378,22.47333532,21.55153994,22.22954875,23.29101706,24.38790891,26.43729384,25.54526907,29.00009028,30.06518498,36.85744745,41.30519008,45.29779299,44.87619241,52.26948525,45.47695995,48.30831764,54.07795046,54.73235639
Indonesia,IDN,Trade (% of GDP),NE.TRD.GNFS.ZS,49.89934587,52.84974829,50.52333901,51.87710116,53.95858951,52.26474368,55.99389633,96.18619424,62.94391295,71.43687599,69.7932057,59.07946358,53.61649402,59.76129216,63.98793448,56.65712681,54.82924998,58.56139963,45.51212109,47.48510048,51.28659046,50.07270906
"Iran, Islamic Rep.",IRN,Trade (% of GDP),NE.TRD.GNFS.ZS,44.56304968,41.14781978,47.24486012,43.39338569,34.82447392,35.79911078,32.70972853,29.29621831,36.28725368,40.1398623,39.29118223,49.26598355,52.93763531,54.97549131,57.71484379,56.86533035,53.71717869,NA,NA,NA,NA,NA
Israel,ISR,Trade (% of GDP),NE.TRD.GNFS.ZS,75.25267905,74.96877692,81.01202877,80.5811322,65.41977179,63.86593451,63.57933954,62.60708081,71.01805703,74.77569295,68.39383349,72.74936945,73.9707651,82.73464107,85.83618315,82.66629195,83.25359483,78.07493569,64.42001431,68.19569883,71.50051409,72.15348019
Japan,JPN,Trade (% of GDP),NE.TRD.GNFS.ZS,18.17618719,17.41268373,15.92398985,16.01493837,16.74969987,18.93944307,20.38760447,19.6888759,18.75638736,20.3060448,20.2578929,21.16392566,22.09029561,24.46337319,27.21757957,31.08646956,33.80276473,35.22831679,25.02483876,29.14723196,31.20547393,31.30342842
Nigeria,NGA,Trade (% of GDP),NE.TRD.GNFS.ZS,64.87659873,61.03097314,58.10984891,42.30886996,59.76783433,57.6909942,76.85999096,66.17324503,55.84639139,71.38053117,81.81284909,63.38363717,75.2189025,48.44813069,50.74835925,64.60931392,64.46290877,64.97297381,61.80285424,68.02870878,88.47863672,78.24556436
Pakistan,PAK,Trade (% of GDP),NE.TRD.GNFS.ZS,35.55468347,37.88785965,38.74734536,35.3270506,36.13275367,38.33012683,36.8522661,34.01172518,32.31996281,28.12960732,30.37153377,30.53762992,32.84449575,30.30012871,35.25329003,35.68172966,32.99042857,35.59420149,32.07184826,32.86892658,32.92472043,32.59295694
Saudi Arabia,SAU,Trade (% of GDP),NE.TRD.GNFS.ZS,75.20397515,75.52379411,68.22595074,60.45044887,65.44599463,67.04229397,65.57124108,56.47418386,58.11918562,68.55461928,63.95141169,64.95409763,70.2328223,75.08283666,81.95407594,89.94460468,94.8633171,96.10263087,84.85834156,82.76853503,85.76484177,86.43923949
Somalia,SOM,Trade (% of GDP),NE.TRD.GNFS.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,LKA,Trade (% of GDP),NE.TRD.GNFS.ZS,67.59591239,72.80375656,77.14751834,79.4307907,81.63504909,78.87396371,80.13755331,78.49498913,78.75147835,88.63646274,80.89862447,76.33513178,75.33624733,79.4829449,73.60397296,71.26117849,68.60651166,63.36904361,49.14914153,53.06157773,60.65693064,59.27318825
Sweden,SWE,Trade (% of GDP),NE.TRD.GNFS.ZS,54.26816169,53.93158938,61.77314296,67.70362948,72.61804567,70.50781724,76.65060518,79.41214524,79.69623381,86.69136819,85.89800202,81.99293674,80.21609774,83.73276983,89.03853758,94.11770499,96.27945201,100.3061804,89.43482979,92.77909329,94.13623104,91.24038055
United Kingdom,GBR,Trade (% of GDP),NE.TRD.GNFS.ZS,47.05465021,47.85000825,51.32975562,53.09235912,56.27960438,57.88001216,55.99926664,53.13777989,53.11242851,56.46621195,56.10090605,54.4881249,53.2960565,53.14278695,56.02270778,60.05033039,55.87023921,61.01540966,58.39840153,62.42465242,65.65187773,65.2281501
United States,USA,Trade (% of GDP),NE.TRD.GNFS.ZS,19.73436994,19.89203737,19.98633463,20.99278942,22.38256785,22.61178736,23.34436894,22.75912907,23.17266209,24.96379875,22.8379434,22.17081656,22.47789302,24.28117618,25.47841227,26.83956444,27.90826157,29.88729849,24.69014212,28.11482588,30.71366955,30.40394962
Zambia,ZMB,Trade (% of GDP),NE.TRD.GNFS.ZS,71.86374132,84.35376396,73.9692925,72.82919049,75.78263517,70.20141993,64.1278599,61.47248438,64.97719803,66.82944237,72.46670398,70.15820272,69.71295684,77.75791111,71.22322449,68.60382305,80.10622616,72.64393636,67.1764464,81.67048311,83.07531536,89.5492037
Bangladesh,BGD,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,30.36520119,29.38478792,26.25152713,25.6284899,26.38431848,25.67601183,25.78142393,25.44766787,26.17744348,25.51408614,24.09689501,22.73041716,21.75329256,21.03607584,20.14203289,19.61281397,19.24346501,19.01069898,18.72844738,18.58781574,18.28603376,17.67695306
Brazil,BRA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,7.79,7.72,7.56,9.850263575,5.771250392,5.513690332,5.396392373,5.524736835,5.473261496,5.602902758,5.973379533,6.61763262,7.385962598,6.913395164,5.708390758,5.483921707,5.562716551,5.914162259,5.626726234,5.304226816,5.456271013,5.242793298
China,CHN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,24.52631821,21.78988616,19.70855184,19.86123877,19.96226583,19.69102205,18.28713611,17.55598209,16.4702209,15.06301182,14.39175176,13.74273287,12.79734009,13.39312146,12.12302312,11.11345205,10.76971034,10.73156846,10.3331503,10.0953195,10.03715885,10.08564819
Ethiopia,ETH,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,64.06587599,68.87998054,65.12491305,58.12323578,57.4758912,56.70743769,57.63023561,52.56247122,49.50382218,48.69186374,46.54084517,42.480271,40.90895483,43.14703262,45.58966076,46.78324012,46.3557205,49.38295351,49.57993525,45.62429203,45.55415981,48.76109285
France,FRA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,3.11352614,3.061330525,2.723320237,2.861302956,2.905343578,2.859224647,2.778938793,2.797470926,2.64938617,2.468438389,2.479958407,2.352518784,2.151504836,2.128398081,1.96862676,1.785378846,1.895225317,1.77847336,1.538682376,1.827013512,1.904456507,1.968773811
Germany,DEU,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1.217166643,1.10689014,1.044928678,1.06979177,1.094530339,1.142644996,1.133319477,1.073012219,1.059086461,1.110519799,1.20527108,0.994553881,0.916501159,1.069300342,0.8019498,0.821078666,0.87092729,0.955796121,0.750572731,0.796810967,0.790615404,0.83710758
India,IND,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,29.38952436,28.73564927,28.67697143,28.27199437,26.25640451,27.12742197,25.88700833,25.79098082,24.50227807,23.02185278,22.92230618,20.69574147,20.7427547,19.02855235,18.81054342,18.28822509,18.2562719,17.78433237,17.73663649,18.20542816,17.86407531,17.51994594
Indonesia,IDN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,18.2566921,18.67809847,17.87982746,17.28626174,17.13835388,16.67238699,16.09212141,18.08286038,19.61266996,15.60197123,15.29026521,15.45645173,15.18534852,14.33577983,13.12661836,12.97380272,13.7166831,14.48174026,15.29014805,15.28607321,14.70402089,14.4434846
"Iran, Islamic Rep.",IRN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,18.53608597,18.65598378,15.31186538,15.54325359,18.37269451,15.6114971,14.79329344,17.27458606,15.06054264,13.72451564,12.82507212,12.03584186,11.97238428,11.22681015,10.18908055,10.36458415,10.21669258,NA,NA,NA,NA,NA
Israel,ISR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,JPN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1.959216885,1.874295071,1.715884085,1.779056477,1.605626065,1.632902262,1.509574557,1.599210932,1.583201343,1.502915658,1.44258103,1.458508014,1.384225524,1.316515033,1.216689303,1.181368596,1.146307523,1.14294343,1.159490533,1.177928769,1.16544693,NA
Nigeria,NGA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,31.2244968,27.26651827,33.90011911,38.8108824,32.06099353,31.13372236,34.03135991,39.0478495,35.30644453,26.03397777,33.7537884,48.56594018,42.70726998,34.21028658,32.75542177,31.9987955,32.71417898,32.85021918,37.05016484,30.33906219,30.9903168,33.08457243
Pakistan,PAK,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,25.77451802,26.34670757,24.99402035,25.55021362,26.13875669,25.48283815,26.70256627,27.31006367,27.03159386,25.92936031,24.09488168,23.35388324,23.36270554,22.18350653,21.46540471,23.00929641,23.0582756,23.11412901,23.90812983,24.29211203,26.01226032,24.42766167
Saudi Arabia,SAU,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,5.469520416,5.639042746,6.107005771,6.188389215,5.92272975,5.44428442,5.405388152,6.201614348,5.706366869,4.949077135,5.203002474,5.105739895,4.530428212,3.901129877,3.22082662,2.948584157,2.77015987,2.316854073,2.854111914,2.382281732,1.918347838,2.243294045
Somalia,SOM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,LKA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,26.75082066,25.8605322,24.6433458,23.76648176,23.01049482,22.43143746,21.87065291,21.10613153,20.66882471,19.89995192,20.05382111,14.27932253,13.23052037,12.54380414,11.81947682,11.33628023,11.68316433,13.37920077,12.6919713,12.81043321,12.10965633,11.05040162
Sweden,SWE,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,3.19919162,3.010972903,2.848391151,2.91140599,2.934189451,2.619074811,2.536617332,2.380585329,2.216781691,2.00849582,2.016157437,1.943157025,1.919589655,1.894012394,1.196598628,1.422346078,1.672098956,1.734683346,1.580967441,1.716834373,1.718662236,1.565894657
United Kingdom,GBR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1.490754227,1.470180207,1.478379721,1.519478837,1.569365601,1.363270277,1.208845861,1.067465104,0.995674794,0.897981114,0.821107531,0.830368719,0.863051159,0.886945035,0.629709766,0.593937291,0.627903711,0.693081078,0.577304159,0.681741336,0.693498907,0.653304643
United States,USA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1.894572404,1.954274114,1.863028935,1.834777514,1.607811468,1.805715555,1.685758917,1.300089704,1.219934045,1.190978876,1.181402837,1.009241245,1.197297611,1.34507504,1.212483968,1.042895226,1.130169679,1.220378431,1.11946068,1.192126008,1.24542282,NA
Zambia,ZMB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,17.42768622,23.81227052,34.10152274,15.49242979,18.40537701,17.57157184,18.65555927,21.13794722,24.18488813,22.16444351,22.00541943,22.10091963,22.75770576,23.42120489,22.83269005,21.64050434,20.76638987,21.00739755,21.61606872,20.44841799,19.52941858,19.59493105
Bangladesh,BGD,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,13.4123628,13.9063829,14.90538281,15.2927601,15.33481644,15.43204442,15.61187739,16.23600907,15.46934943,15.22864763,15.60584688,15.86360019,15.80440945,16.12918675,16.53437617,17.21116185,17.77045946,17.83368576,17.92236822,17.88743797,17.63204408,17.56364338
Brazil,BRA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,25.34337056,24.65593197,24.95368663,26.7898839,18.6157115,16.79589694,16.6692952,15.7161234,16.11865433,17.22059142,17.13255612,16.85312329,18.01669235,19.21809228,18.09170619,17.37040532,17.02986681,16.6274487,16.65000225,16.22521327,14.5981178,13.25163323
China,CHN,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,32.48726002,32.73651753,33.97130348,33.62738377,33.65383255,33.51224981,33.18237372,31.84073837,31.59224773,32.1193441,31.63524318,31.41552384,32.84838632,32.36736174,32.5072214,32.92096663,32.90503511,32.65116521,32.30202041,32.45849379,NA,NA
Ethiopia,ETH,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,3.034035751,2.813168358,3.933795762,4.450288929,4.795828395,5.129741636,5.044318967,4.936147002,5.48210283,5.798711014,6.022486094,5.983181953,6.002820351,5.65810161,5.074332113,4.835850265,4.767266769,4.276173164,3.989213847,4.163283208,3.865290499,3.57899203
France,FRA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,17.30526232,16.69361072,16.1430032,15.84591541,16.06268815,15.51047914,15.64059609,15.59323784,15.31385776,15.21846826,14.68721356,14.01880094,13.41788776,13.01693122,12.63407489,11.97662122,11.89806146,11.28380396,10.58974885,10.29615078,10.22901404,9.963577964
Germany,DEU,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,26.5932252,25.07791704,22.80092969,22.36412773,21.99108825,21.42444636,21.63006328,21.95049025,21.64539228,22.27121663,22.05139039,21.49006226,21.63501324,21.92746302,22.01897964,22.76923519,23.07865447,22.19666216,19.51394629,21.89105031,22.69014814,22.38822854
India,IND,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,15.20736103,15.3599707,15.31830115,16.20431286,17.30485414,16.94398965,15.84703404,15.00370126,14.59768042,15.30913558,14.6417428,14.87006095,14.8978363,15.25256106,15.38618405,16.05827703,15.99097156,15.429653,15.09519681,14.79527815,14.73102382,14.06885127
Indonesia,IDN,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,21.35428098,21.96073674,22.30493013,23.34803642,24.13318932,25.61663597,26.7929649,24.9956712,25.99487847,27.74544908,29.05333222,28.71830103,28.25284241,28.06582568,27.40750689,27.53757408,27.04841275,27.81427299,26.35547437,24.80393727,24.33239575,23.9368974
"Iran, Islamic Rep.",IRN,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,13.08273236,13.21709522,10.6146777,12.14247173,11.87617443,13.23274162,13.96698845,13.278525,13.03020821,13.15994031,13.36207075,11.38919338,11.24664939,11.27049817,10.74367337,10.86555745,10.55496903,NA,NA,NA,NA,NA
Israel,ISR,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,JPN,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,25.59046467,24.7378801,23.34581828,22.30655462,22.401638,22.44041691,22.26487497,21.72366281,21.36538935,21.40826057,20.1732857,19.72582684,19.87761598,20.08188394,19.86054,19.88406437,20.27823177,19.78592596,17.76528507,19.64737116,18.62360585,NA
Nigeria,NGA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,6.201068989,5.070091682,5.700959618,6.989694423,5.446356349,4.917161333,5.14305356,5.224295793,4.725917752,3.667227237,4.213242256,3.426106311,3.390341809,3.061206484,2.832142659,2.57761691,2.521543977,2.410129736,2.469561234,1.892231499,1.857302193,1.878120321
Pakistan,PAK,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,17.13259731,16.85551456,16.67462555,16.78098889,16.31344211,16.04831568,15.87955519,15.84713352,15.48000086,14.67709333,15.50074377,15.50468179,15.99909841,17.18848413,18.5646611,13.80707348,14.03439607,15.18925415,13.38731082,13.64236648,14.31611677,14.44874961
Saudi Arabia,SAU,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,8.566380729,9.02403567,9.107570115,9.41109867,9.62673167,9.812136382,10.09059721,10.62731378,10.40443092,9.663811368,10.08398693,10.32094559,10.72108549,10.3324494,9.54409878,9.597723259,9.940743906,8.982997458,10.85067152,11.04359662,10.03736084,10.06849592
Somalia,SOM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,LKA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,14.76471481,15.33492384,15.20216252,15.37970553,15.72685217,16.19751298,16.40865101,16.54256665,16.39671067,16.82554861,15.95389248,18.48155023,18.59193138,18.72074443,19.51298566,19.22587692,18.49792438,17.95409417,18.10773411,18.00471583,18.20870051,17.86902944
Sweden,SWE,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,18.65975443,17.57223409,18.04255281,19.63746767,21.7032302,20.81857663,20.90113173,21.21966246,21.043894,21.29770605,20.07966494,19.84012212,19.42468824,19.32051101,19.32520821,19.17454521,19.07372463,17.12974002,15.41988372,16.9584966,16.445633,15.6665843
United Kingdom,GBR,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,18.85640014,18.49928161,18.02010543,18.7408182,19.16728089,18.85875925,18.7282915,17.83792359,16.6980131,15.60166449,14.86809428,13.86328554,13.0352943,12.30381845,11.99081856,11.59231799,11.01125834,10.86142037,10.30352405,10.40361527,10.32694675,10.05113446
United States,USA,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,NA,NA,NA,NA,NA,NA,NA,16.94482272,16.73623884,15.89507199,14.58604274,14.44652219,14.03364435,14.28584438,14.2129115,13.9171177,13.80377544,12.92618789,12.35581532,12.64175123,12.90209314,NA
Zambia,ZMB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,36.74848603,37.16310663,27.94481001,11.24315407,11.22074611,13.36809985,13.1952255,12.97301529,12.08465287,11.34210666,11.02002462,11.52593383,12.01510188,11.89418341,11.64843935,11.14097813,10.19615379,9.957758668,9.661856214,8.851098696,8.415687801,8.542812201
Bangladesh,BGD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,28670624823,28712671465,29393380172,31107917816,34918528620,36590824230,39157290469,40789834577,42438436055,43662988372,43396694852,44717444613,48726638767,52866466650,54039309531,55884377303,62400981853,72574445445,84310024189,92904777460,1.04E+11,1.09E+11
Brazil,BRA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,3.47E+11,3.32E+11,3.72E+11,4.71E+11,6.63E+11,7.24E+11,7.48E+11,7.24E+11,4.93E+11,5.37E+11,4.56E+11,4.12E+11,4.50E+11,5.44E+11,7.22E+11,8.94E+11,1.12E+12,1.34E+12,1.36E+12,1.76E+12,2.03E+12,1.88E+12
China,CHN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,3.25E+11,3.67E+11,3.80E+11,4.90E+11,6.23E+11,7.32E+11,8.22E+11,8.82E+11,9.35E+11,1.02E+12,1.13E+12,1.25E+12,1.42E+12,1.64E+12,1.91E+12,2.29E+12,2.94E+12,3.73E+12,4.28E+12,4.90E+12,5.93E+12,6.93E+12
Ethiopia,ETH,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,10874742759,8169997402,6846653082,4970499711,5039828580,5727848284,6083133447,5418814539,5706622808,6052839717,6014428956,5390885998,5565564959,6958226751,8928531304,10826273210,13410093204,18338565378,20804241483,18248344585,20725045008,31289163028
France,FRA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1.09E+12,1.20E+12,1.14E+12,1.20E+12,1.38E+12,1.39E+12,1.26E+12,1.31E+12,1.31E+12,1.19E+12,1.20E+12,1.28E+12,1.59E+12,1.83E+12,1.90E+12,2.01E+12,2.29E+12,2.50E+12,2.30E+12,2.25E+12,2.49E+12,2.33E+12
Germany,DEU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1.56E+12,1.77E+12,1.71E+12,1.82E+12,2.14E+12,2.07E+12,1.83E+12,1.84E+12,1.80E+12,1.59E+12,1.58E+12,1.68E+12,2.04E+12,2.35E+12,2.39E+12,2.54E+12,2.89E+12,3.12E+12,2.86E+12,2.85E+12,3.25E+12,3.08E+12
India,IND,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2.32E+11,2.49E+11,2.43E+11,2.87E+11,3.14E+11,3.37E+11,3.67E+11,3.74E+11,4.09E+11,4.14E+11,4.28E+11,4.57E+11,5.36E+11,6.23E+11,7.18E+11,8.12E+11,1.06E+12,1.02E+12,1.17E+12,1.45E+12,1.53E+12,1.54E+12
Indonesia,IDN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,95247461261,1.06E+11,1.36E+11,1.55E+11,1.76E+11,1.97E+11,1.87E+11,77985245697,1.14E+11,1.26E+11,1.22E+11,1.51E+11,1.98E+11,2.12E+11,2.29E+11,2.98E+11,3.54E+11,4.13E+11,4.67E+11,6.16E+11,7.31E+11,7.69E+11
"Iran, Islamic Rep.",IRN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NA,NA,35805230053,42454437617,61198051108,74220733177,72008207581,76102554946,75362228044,61156207476,78779143022,78867742524,87509174243,1.04E+11,1.09E+11,1.25E+11,1.74E+11,1.91E+11,2.38E+11,NA,NA,NA
Israel,ISR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,50136623783,56021251361,56142081891,63684616499,73462512386,85836626849,88605777792,88187681309,86960654076,99399449975,1.02E+11,93530623768,97742601291,1.06E+11,1.14E+11,1.30E+11,1.52E+11,1.81E+11,1.74E+11,1.98E+11,2.19E+11,2.15E+11
Japan,JPN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2.97E+12,3.21E+12,3.66E+12,4.01E+12,4.40E+12,3.89E+12,3.58E+12,3.21E+12,3.63E+12,3.87E+12,3.38E+12,3.23E+12,3.51E+12,3.81E+12,3.76E+12,3.59E+12,3.60E+12,3.96E+12,4.03E+12,4.41E+12,4.74E+12,4.78E+12
Nigeria,NGA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,16411394799,18196659767,6634270185,9275589861,18843502071,22899125523,23662513927,23107486299,NA,26249525579,27516285478,41874383821,44359116236,54102809408,65740641798,1.03E+11,1.15E+11,1.41E+11,1.25E+11,1.41E+11,1.40E+11,1.58E+11
Pakistan,PAK,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,42482724563,44827491873,47286225091,47553762655,55934626333,56561951093,56270690522,56290374702,57496402964,63232321590,61830233288,63825431256,72527179194,84411360519,93103548599,1.17E+11,1.30E+11,1.43E+11,1.47E+11,1.54E+11,1.88E+11,2.01E+11
Saudi Arabia,SAU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,92575624866,95821384604,94889479860,96960568096,1.03E+11,1.10E+11,1.20E+11,1.10E+11,1.19E+11,1.20E+11,1.21E+11,1.32E+11,1.38E+11,1.52E+11,1.79E+11,2.04E+11,2.29E+11,2.60E+11,2.76E+11,3.22E+11,3.79E+11,4.07E+11
Somalia,SOM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,LKA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,8346407504,9086628027,9683411375,10894954872,12005937896,12577847286,14056855735,14658716061,14479326620,15129117782,14736644224,16108931327,17853430854,19422178980,22868239837,26312151889,30206455726,37491563571,39403157965,46070354143,55116987378,54811482294
Sweden,SWE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2.23E+11,2.27E+11,1.68E+11,1.87E+11,2.19E+11,2.38E+11,2.18E+11,2.21E+11,2.25E+11,2.14E+11,1.96E+11,2.17E+11,2.78E+11,3.17E+11,3.27E+11,3.54E+11,4.14E+11,4.38E+11,3.56E+11,4.09E+11,4.76E+11,4.66E+11
United Kingdom,GBR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,8.95E+11,9.39E+11,8.46E+11,9.29E+11,1.01E+12,1.07E+12,1.20E+12,1.31E+12,1.32E+12,1.29E+12,1.30E+12,1.44E+12,1.67E+12,1.97E+12,2.07E+12,2.18E+12,2.54E+12,2.40E+12,1.95E+12,2.02E+12,2.18E+12,2.14E+12
United States,USA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,5.38E+12,5.70E+12,5.97E+12,6.37E+12,6.72E+12,7.14E+12,7.63E+12,8.14E+12,8.62E+12,9.18E+12,9.48E+12,9.76E+12,1.02E+13,1.08E+13,1.15E+13,1.23E+13,1.27E+13,1.27E+13,1.25E+13,1.31E+13,1.37E+13,1.43E+13
Zambia,ZMB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2516550222,2423752959,2671498907,2671679801,2697758222,2656473977,3162374076,2699293588,2662418956,2736355968,3107449920,3175174211,3724841265,4203162083,5324228561,7017790991,7195993932,10137697635,9674265773,10625830133,13078510711,14633498860
Bangladesh,BGD,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,272.171042,279.5383878,286.0499947,291.4636307,299.4399816,306.8012165,316.7459083,326.6806006,336.0283728,349.5053333,361.5308569,371.2207201,384.613043,402.8003249,421.1233114,443.6676994,467.0649808,490.9072519,513.7678115,539.0999313,568.7266369,597.0206457
Brazil,BRA,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,3993.057042,3911.570921,4031.129036,4181.664946,4300.069777,4325.679012,4403.812072,4339.170424,4286.172733,4406.713243,4402.511201,4458.333914,4450.926292,4647.527247,4739.305437,4874.601481,5121.02886,5336.079146,5271.138037,5618.3246,5721.289504,5721.225684
China,CHN,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,498.8314952,562.7267155,634.1757795,709.1916226,777.9944407,846.8707987,916.2047374,978.2368519,1043.508392,1122.285046,1206.63801,1307.651394,1429.485043,1564.543048,1731.125235,1940.114735,2204.069679,2403.314497,2611.398465,2869.093824,3120.929717,3348.009885
